Bodyweight,Total,Gender,Muscle Up (kg),Pull (kg),Dip (kg),Squat (kg)
68.3,262.5,Female,22.5,45.0,55.0,140.0
68.5,260.0,Female,20.0,40.0,70.0,130.0
74.9,260.0,Female,20.0,40.0,52.5,147.5
67.6,260.0,Female,12.5,56.25,63.75,127.5
62.3,257.5,Female,6.25,41.25,60.0,150.0
65.9,248.75,Female,12.5,35.0,56.25,145.0
69.4,246.25,Female,10.0,30.0,51.25,155.0
56.0,245.0,Female,12.5,52.5,60.0,120.0
62.2,245.0,Female,12.5,41.25,61.25,130.0
59.9,243.75,Female,11.25,40.0,62.5,130.0
62.7,242.5,Female,17.5,30.0,62.5,132.5
81.85,241.25,Female,13.75,40.0,42.5,145.0
73.8,240.0,Female,5.0,37.5,52.5,145.0
70.6,238.75,Female,11.25,51.25,58.75,117.5
56.6,237.5,Female,3.75,31.25,57.5,145.0
61.0,231.25,Female,13.75,33.75,56.25,127.5
53.7,230.5,Female,15.5,32.5,52.5,130.0
54.7,228.75,Female,12.5,41.25,55.0,120.0
62.1,228.75,Female,10.0,41.25,50.0,127.5
66.3,226.25,Female,13.75,30.0,50.0,132.5
56.6,225.0,Female,15.0,45.0,50.0,115.0
56.0,223.75,Female,12.5,41.25,45.0,125.0
67.2,223.75,Female,16.25,37.5,50.0,125.0
68.2,218.75,Female,3.75,22.5,47.5,145.0
71.0,217.5,Female,12.5,35.0,50.0,120.0
67.5,213.75,Female,10.0,50.0,46.25,107.5
60.0,212.5,Female,5.0,35.0,47.5,125.0
57.2,205.0,Female,5.0,35.0,45.0,120.0
52.5,201.25,Female,6.25,32.5,47.5,115.0
55.0,198.75,Female,5.0,18.75,45.0,130.0
62.85,197.5,Female,2.5,30.0,37.5,127.5
55.6,193.75,Female,2.5,35.0,46.25,110.0
57.0,191.25,Female,5.0,27.5,46.25,112.5
