Bodyweight,Total,Gender,Muscle Up (kg),Pull (kg),Dip (kg),Squat (kg)
91.7,586.5,Male,42.5,106.5,162.5,275.0
106.9,572.5,Male,20.0,92.5,150.0,310.0
93.0,570.0,Male,40.0,107.5,170.0,252.5
98.0,562.5,Male,27.5,100.0,152.5,283.0
113.2,562.5,Male,20.0,85.0,185.0,272.5
85.6,557.25,Male,51.0,116.25,170.0,220.0
93.9,541.5,Male,25.0,75.0,160.0,281.5
93.0,540.0,Male,27.5,91.25,171.25,250.0
112.0,538.75,Male,11.25,91.25,173.75,262.5
87.1,532.75,Male,30.0,96.25,135.0,271.5
86.3,532.5,Male,42.5,120.0,140.0,230.0
97.7,530.0,Male,40.0,90.0,145.0,255.0
86.9,517.5,Male,35.0,97.5,135.0,250.0
79.6,513.75,Male,41.5,100.0,155.0,217.5
111.0,503.0,Male,5.0,92.5,135.0,270.5
87.0,500.0,Male,32.5,95.0,145.0,227.5
91.5,500.0,Male,30.0,87.5,135.0,247.5
73.0,494.0,Male,42.5,102.5,149.0,200.0
79.6,491.25,Male,25.0,88.75,107.0,270.0
79.7,490.0,Male,30.0,82.5,160.0,217.5
79.7,490.0,Male,32.5,85.0,135.0,237.5
79.6,488.75,Male,36.25,95.0,150.0,207.5
91.5,481.25,Male,31.25,85.0,155.0,210.0
89.8,480.0,Male,20.0,90.0,140.0,230.0
92.5,477.5,Male,20.0,92.5,135.0,230.0
103.3,475.0,Male,12.5,82.5,115.0,265.0
72.7,470.0,Male,36.25,88.75,140.0,205.0
90.1,470.0,Male,25.0,75.0,140.0,230.0
92.4,470.0,Male,25.0,85.0,125.0,235.0
79.7,468.75,Male,27.5,86.25,127.5,227.5
79.7,468.75,Male,15.0,75.0,131.25,247.5
72.5,467.5,Male,30.0,92.5,147.5,197.5
86.2,466.25,Male,26.25,85.0,140.0,215.0
85.6,465.5,Male,28.0,77.5,120.0,240.0
85.7,462.5,Male,30.0,91.25,146.25,195.0
78.1,460.0,Male,25.0,80.0,135.0,220.0
72.7,453.5,Male,27.5,70.0,135.0,221.0
72.7,451.25,Male,31.25,80.0,120.0,220.0
72.5,450.0,Male,20.0,80.0,147.5,202.5
66.0,442.75,Male,40.25,100.0,117.5,185.0
72.8,437.5,Male,32.5,85.0,140.0,180.0
103.0,423.75,Male,20.0,73.75,125.0,205.0
72.6,422.75,Male,40.25,90.0,112.5,180.0
72.8,420.0,Male,18.75,71.25,117.5,212.5
65.1,414.0,Male,25.0,75.0,134.0,180.0
106.3,410.0,Male,15.0,60.0,115.0,220.0
65.3,397.5,Male,25.0,78.75,103.75,190.0
63.6,387.5,Male,25.0,69.0,113.5,180.0
64.1,387.5,Male,25.0,77.5,100.0,185.0
65.1,386.25,Male,20.0,66.25,110.0,190.0
65.1,385.0,Male,25.0,80.0,110.0,170.0
65.5,378.0,Male,25.0,78.0,112.5,162.5
65.8,375.0,Male,15.0,70.0,90.0,200.0
66.0,370.0,Male,20.0,60.0,100.0,190.0
57.3,365.0,Male,10.0,55.0,100.0,200.0
